No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	100nF	C1	C0402	100nF	CL05B104KO5NNNC	SAMSUNG	C1525	LCSC
2	1	10uF	C2	C0603	10uF	CL10A106KP8NNNC	SAMSUNG	C19702	LCSC
3	1	B2B-PH-K-S-GW	CN1	CONN-TH_B2B-PH-K-S		B2B-PH-K-S-GW	JST	C5251182	LCSC
4	1	WS2812B-B/T	LED1	LED-SMD_4P-L5.0-W5.0-TL-A		WS2812B-B/T	worldsemi	C2761795	LCSC
5	2	5.1k	R1,R2	R0603	5.1k	RMC06035.1K1%N	Tyohm	C269716	LCSC
6	1	SKRKAEE020	SW1	SW-SMD_L3.9-W3.0-P4.45		SKRKAEE020	ALPSALPINE	C115357	LCSC
7	1	2.4GHz	U1	WIRELM-SMD_ESP32-S3-WROOM-1	2.4GHz	ESP32-S3-WROOM-1-N4	ESPRESSIF	C2913197	LCSC
8	1	TP4056-42-ESOP8	U2	ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP		TP4056-42-ESOP8	TOPPOWER	C16581	LCSC
9	1	AMS1117-3.3	U3	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR		AMS1117-3.3	AMS	C6186	LCSC
10	1	B4B-PH-K-S-GW	U4	CONN-TH_B4B-PH-K-S-GW		B4B-PH-K-S-GW	JST	C566011	LCSC
11	1	B3B-PH-KL(LF)(SN)	U5	CONN-TH_B3B-PH-KL-LF-SN		B3B-PH-KL(LF)(SN)	JST	C158004	LCSC
12	1	TYPE-C-31-M-12	USBC1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	KH	C165948	LCSC
